"Routing_plan","FN","FRRR","SRRR","SN"
"AM Plan 75/10/60/0","4","0.623","0.5525","1"
"45/30/120 /0","2","0.6151","0.634","1"
"Austin Test-2: 120/40/120/10","12","0.7093","0.6567","23"
"60/0/120/1-1/10 IntraDay&","17","0.7012","0.7295","14"
"45/0/60/1-2/10 IntraDay@","26","0.884","0.8122","60"
"45/30/60/7","4","0.4547","0.7251","1"
"45/0/120/10","4","0.5622","0.6207","1"
"60 Min Drive","38","0.8739","0.8966","58"
"FSSwk2/wk4/120/10/180/15Z","22","0.3801","0.3247","29"
"120/10/200/Specialty/10","4","0.339","0.2399","4"
"FSSwk2/wk4/65/10/60/50b","4","0.4975","0.4592","6"
"90/10/120/1-1/0Z","23","0.5748","0.5201","28"
"120/20/120/1-3/0Z","16","0.6372","0.5757","19"
"150/10/120/1-4/5b","6","0.3087","0.1237","7"
"Fairborn Duration 75/20/90/0","11","0.7436","-0.0274","7"
"Basic 2 60/20/60/0","9","0.5405","0.5699","22"
